report_date,group,producer,brand,tonnes,thou_rub
2023-09-01,Группа 6,Производитель 16,Бренд 14,231.42,352.0
2023-10-01,Группа 6,Производитель 11,Бренд 8,674.83,699.01
2023-11-01,Группа 6,Производитель 14,Бренд 16,515.11,570.27
2023-12-01,Группа 6,Производитель 16,Бренд 11,493.69,926.18
2024-01-01,Группа 6,Производитель 22,Бренд 9,421.39,883.77
2024-02-01,Группа 6,Производитель 8,Бренд 1,289.65,615.3
2024-03-01,Группа 6,Производитель 17,Бренд 21,946.09,811.05
2024-04-01,Группа 6,Производитель 22,Бренд 15,637.23,647.85
2024-05-01,Группа 6,Производитель 12,Бренд 11,213.5,424.9
2024-06-01,Группа 6,Производитель 7,Бренд 20,535.96,605.67
2023-01-01,Группа 6,Производитель 7,Бренд 14,376.46,115.54
2023-02-01,Группа 6,Производитель 9,Бренд 14,449.85,622.44
2023-03-01,Группа 6,Производитель 16,Бренд 20,822.92,570.78
2023-04-01,Группа 6,Производитель 7,Бренд 12,974.91,614.01
2023-05-01,Группа 6,Производитель 21,Бренд 22,564.13,561.27
2023-06-01,Группа 6,Производитель 9,Бренд 24,255.02,532.03
2023-07-01,Группа 6,Производитель 2,Бренд 12,781.7,704.3
2023-08-01,Группа 6,Производитель 1,Бренд 20,120.34,338.92
2023-09-01,Группа 6,Производитель 1,Бренд 1,670.94,680.43
2023-10-01,Группа 6,Производитель 16,Бренд 15,498.5,310.17
2023-11-01,Группа 6,Производитель 9,Бренд 19,399.87,714.05
2023-12-01,Группа 6,Производитель 7,Бренд 21,144.04,315.73
2024-01-01,Группа 6,Производитель 15,Бренд 4,350.81,541.89
2024-02-01,Группа 6,Производитель 2,Бренд 23,170.63,603.51
2024-03-01,Группа 6,Производитель 13,Бренд 14,802.26,262.56
2024-04-01,Группа 6,Производитель 15,Бренд 13,385.32,368.1
2024-05-01,Группа 6,Производитель 1,Бренд 22,903.49,722.92
2024-06-01,Группа 6,Производитель 5,Бренд 16,770.01,359.49
2023-01-01,Группа 6,Производитель 10,Бренд 15,797.67,925.42
2023-02-01,Группа 6,Производитель 8,Бренд 21,994.17,644.75
2023-03-01,Группа 6,Производитель 23,Бренд 21,987.81,855.24
2023-04-01,Группа 6,Производитель 11,Бренд 13,677.8,102.0
2023-05-01,Группа 6,Производитель 16,Бренд 11,552.81,556.8
2023-06-01,Группа 6,Производитель 4,Бренд 10,528.72,847.24
2023-07-01,Группа 6,Производитель 20,Бренд 3,646.65,703.77
2023-08-01,Группа 6,Производитель 6,Бренд 6,505.19,155.76
2023-09-01,Группа 6,Производитель 19,Бренд 11,328.24,749.13
2023-10-01,Группа 6,Производитель 12,Бренд 9,483.72,263.06
2023-11-01,Группа 6,Производитель 10,Бренд 20,873.6,219.58
2023-12-01,Группа 6,Производитель 12,Бренд 7,255.67,753.34
2024-01-01,Группа 6,Производитель 13,Бренд 7,146.43,821.35
2024-02-01,Группа 6,Производитель 7,Бренд 15,985.77,271.88
2024-03-01,Группа 6,Производитель 3,Бренд 23,757.53,136.41
2024-04-01,Группа 6,Производитель 8,Бренд 8,661.04,391.48
2024-05-01,Группа 6,Производитель 24,Бренд 4,398.96,749.99
2024-06-01,Группа 6,Производитель 7,Бренд 7,408.85,483.21
2023-01-01,Группа 6,Производитель 17,Бренд 17,423.01,463.15
2023-02-01,Группа 6,Производитель 7,Бренд 16,115.71,829.39
2023-03-01,Группа 6,Производитель 21,Бренд 20,709.07,446.31
2023-04-01,Группа 6,Производитель 12,Бренд 7,322.42,717.95
2023-05-01,Группа 6,Производитель 14,Бренд 6,879.82,461.94
2023-06-01,Группа 6,Производитель 6,Бренд 13,969.97,793.61
2023-07-01,Группа 6,Производитель 15,Бренд 18,606.12,429.31
2023-08-01,Группа 6,Производитель 12,Бренд 12,365.59,347.91
2023-09-01,Группа 6,Производитель 18,Бренд 22,716.2,626.63
2023-10-01,Группа 6,Производитель 6,Бренд 5,251.04,706.38
2023-11-01,Группа 6,Производитель 15,Бренд 8,797.13,716.11
2023-12-01,Группа 6,Производитель 21,Бренд 5,779.41,397.36
2024-01-01,Группа 6,Производитель 12,Бренд 7,876.0,936.92
2024-02-01,Группа 6,Производитель 5,Бренд 6,154.1,868.32
2024-03-01,Группа 6,Производитель 2,Бренд 8,539.29,247.04
2024-04-01,Группа 6,Производитель 21,Бренд 17,893.58,209.25
2024-05-01,Группа 6,Производитель 13,Бренд 13,527.0,438.24
2024-06-01,Группа 6,Производитель 5,Бренд 11,540.01,673.87
2023-01-01,Группа 6,Производитель 8,Бренд 22,434.72,463.51
2023-02-01,Группа 6,Производитель 19,Бренд 4,891.39,993.67
2023-03-01,Группа 6,Производитель 9,Бренд 9,774.08,543.69
2023-04-01,Группа 6,Производитель 15,Бренд 16,583.93,715.98
2023-05-01,Группа 6,Производитель 20,Бренд 23,308.05,263.13
2023-06-01,Группа 6,Производитель 6,Бренд 11,641.84,610.3
2023-07-01,Группа 6,Производитель 21,Бренд 19,371.74,490.07
2023-08-01,Группа 6,Производитель 19,Бренд 2,236.95,754.55
2023-09-01,Группа 6,Производитель 9,Бренд 14,196.69,437.66
2023-10-01,Группа 6,Производитель 6,Бренд 24,899.96,488.08
2023-11-01,Группа 6,Производитель 9,Бренд 17,582.71,439.89
2023-12-01,Группа 6,Производитель 3,Бренд 19,509.23,757.76
2024-01-01,Группа 6,Производитель 11,Бренд 24,881.04,718.93
2024-02-01,Группа 6,Производитель 15,Бренд 9,887.14,351.04
2024-03-01,Группа 6,Производитель 19,Бренд 4,717.43,739.65
2024-04-01,Группа 6,Производитель 13,Бренд 17,134.33,527.92
2024-05-01,Группа 6,Производитель 3,Бренд 12,739.62,624.35
2024-06-01,Группа 6,Производитель 16,Бренд 3,983.01,312.32
2023-01-01,Группа 2,Производитель 3,Бренд 8,404.53,303.58
2023-02-01,Группа 2,Производитель 5,Бренд 24,214.01,217.48
2023-03-01,Группа 2,Производитель 24,Бренд 23,914.87,215.14
2023-04-01,Группа 2,Производитель 6,Бренд 3,411.01,987.04
2023-05-01,Группа 2,Производитель 14,Бренд 13,570.87,795.98
2023-06-01,Группа 2,Производитель 17,Бренд 10,180.12,930.04
2023-07-01,Группа 2,Производитель 20,Бренд 9,801.28,725.23
2023-08-01,Группа 2,Производитель 2,Бренд 23,456.4,783.18
2023-09-01,Группа 2,Производитель 21,Бренд 3,470.87,280.6
2023-10-01,Группа 2,Производитель 22,Бренд 24,383.94,278.86
2023-11-01,Группа 2,Производитель 17,Бренд 22,923.9,281.44
2023-12-01,Группа 2,Производитель 11,Бренд 19,841.76,609.82
2024-01-01,Группа 2,Производитель 7,Бренд 4,384.17,611.79
2024-02-01,Группа 2,Производитель 15,Бренд 14,413.15,233.06
2024-03-01,Группа 2,Производитель 17,Бренд 13,756.88,405.06
2024-04-01,Группа 2,Производитель 8,Бренд 15,858.43,813.96
2024-05-01,Группа 2,Производитель 17,Бренд 20,224.98,591.18
2024-06-01,Группа 2,Производитель 5,Бренд 1,100.44,469.3
2023-01-01,Группа 2,Производитель 7,Бренд 17,617.5,944.45
2023-02-01,Группа 2,Производитель 1,Бренд 12,863.61,703.72
2023-03-01,Группа 2,Производитель 7,Бренд 20,993.7,913.83
2023-04-01,Группа 2,Производитель 6,Бренд 16,393.03,108.27
2023-05-01,Группа 2,Производитель 20,Бренд 15,474.9,783.25
2023-06-01,Группа 2,Производитель 21,Бренд 3,557.4,485.4
2023-07-01,Группа 2,Производитель 21,Бренд 18,916.38,519.63
2023-08-01,Группа 2,Производитель 24,Бренд 1,624.2,131.57
2023-09-01,Группа 2,Производитель 16,Бренд 14,314.74,582.49
2023-10-01,Группа 2,Производитель 11,Бренд 8,291.43,869.66
2023-11-01,Группа 2,Производитель 14,Бренд 12,306.6,727.97
2023-12-01,Группа 2,Производитель 10,Бренд 24,666.7,596.54
2024-01-01,Группа 2,Производитель 12,Бренд 19,738.14,319.57
2024-02-01,Группа 2,Производитель 7,Бренд 19,757.6,544.34
2024-03-01,Группа 2,Производитель 17,Бренд 8,610.83,843.99
2024-04-01,Группа 2,Производитель 24,Бренд 21,319.25,411.89
2024-05-01,Группа 2,Производитель 4,Бренд 5,965.05,419.54
2024-06-01,Группа 2,Производитель 2,Бренд 20,338.31,342.47
2023-01-01,Группа 2,Производитель 10,Бренд 3,377.5,601.24
2023-02-01,Группа 2,Производитель 10,Бренд 5,791.57,242.44
2023-03-01,Группа 2,Производитель 10,Бренд 3,171.04,786.75
2023-04-01,Группа 2,Производитель 5,Бренд 8,545.68,866.78
2023-05-01,Группа 2,Производитель 4,Бренд 17,563.1,555.6
2023-06-01,Группа 2,Производитель 6,Бренд 5,964.31,182.51
2023-07-01,Группа 2,Производитель 14,Бренд 7,183.43,978.99
2023-08-01,Группа 2,Производитель 19,Бренд 16,617.36,539.12
2023-09-01,Группа 2,Производитель 12,Бренд 22,978.66,284.85
2023-10-01,Группа 2,Производитель 5,Бренд 19,411.55,743.09
2023-11-01,Группа 2,Производитель 11,Бренд 4,738.84,186.07
2023-12-01,Группа 2,Производитель 14,Бренд 15,982.12,791.77
2024-01-01,Группа 2,Производитель 23,Бренд 13,768.11,408.24
2024-02-01,Группа 2,Производитель 9,Бренд 18,263.83,247.52
2024-03-01,Группа 2,Производитель 6,Бренд 20,320.98,223.02
2024-04-01,Группа 2,Производитель 13,Бренд 14,616.31,477.78
2024-05-01,Группа 2,Производитель 2,Бренд 18,113.97,454.46
2024-06-01,Группа 2,Производитель 9,Бренд 13,902.99,512.97
2023-01-01,Группа 2,Производитель 4,Бренд 1,485.39,928.53
2023-02-01,Группа 2,Производитель 7,Бренд 18,862.4,966.38
2023-03-01,Группа 2,Производитель 4,Бренд 19,181.9,825.29
2023-04-01,Группа 2,Производитель 7,Бренд 19,823.58,445.44
2023-05-01,Группа 2,Производитель 9,Бренд 23,532.78,722.34
2023-06-01,Группа 2,Производитель 3,Бренд 22,269.69,543.86
2023-07-01,Группа 2,Производитель 9,Бренд 6,719.96,505.21
2023-08-01,Группа 2,Производитель 12,Бренд 4,557.29,231.98
2023-09-01,Группа 2,Производитель 3,Бренд 20,700.88,362.85
2023-10-01,Группа 2,Производитель 22,Бренд 1,422.36,998.68
2023-11-01,Группа 2,Производитель 22,Бренд 14,478.69,453.88
2023-12-01,Группа 2,Производитель 23,Бренд 6,752.34,223.24
2024-01-01,Группа 2,Производитель 3,Бренд 6,626.12,613.96
2024-02-01,Группа 2,Производитель 1,Бренд 16,368.31,655.65
2024-03-01,Группа 2,Производитель 24,Бренд 24,697.36,368.05
2024-04-01,Группа 2,Производитель 23,Бренд 7,670.21,917.84
2024-05-01,Группа 2,Производитель 20,Бренд 22,236.92,118.76
2024-06-01,Группа 2,Производитель 3,Бренд 8,623.27,533.14
2023-01-01,Группа 2,Производитель 17,Бренд 20,101.86,984.02
2023-02-01,Группа 2,Производитель 18,Бренд 9,936.36,663.18
2023-03-01,Группа 2,Производитель 7,Бренд 1,805.1,593.6
2023-04-01,Группа 2,Производитель 22,Бренд 1,642.97,976.11
2023-05-01,Группа 2,Производитель 19,Бренд 16,936.19,441.11
2023-06-01,Группа 2,Производитель 5,Бренд 22,249.75,784.01
2023-07-01,Группа 2,Производитель 14,Бренд 11,778.61,282.9
2023-08-01,Группа 2,Производитель 8,Бренд 19,396.31,396.38
2023-09-01,Группа 2,Производитель 19,Бренд 7,560.98,504.87
2023-10-01,Группа 2,Производитель 10,Бренд 4,902.2,117.4
2023-11-01,Группа 2,Производитель 21,Бренд 21,285.53,334.28
2023-12-01,Группа 2,Производитель 9,Бренд 17,359.01,355.92
2024-01-01,Группа 2,Производитель 16,Бренд 5,422.38,583.36
2024-02-01,Группа 2,Производитель 13,Бренд 9,695.21,591.73
2024-03-01,Группа 2,Производитель 11,Бренд 3,536.52,504.89
2024-04-01,Группа 2,Производитель 1,Бренд 6,705.28,509.03
2024-05-01,Группа 2,Производитель 24,Бренд 15,448.81,724.99
2024-06-01,Группа 2,Производитель 11,Бренд 22,990.76,775.18
2023-01-01,Группа 2,Производитель 9,Бренд 16,192.92,959.21
2023-02-01,Группа 2,Производитель 22,Бренд 6,549.4,484.33
2023-03-01,Группа 2,Производитель 1,Бренд 19,157.85,215.5
2023-04-01,Группа 2,Производитель 3,Бренд 3,538.31,283.17
2023-05-01,Группа 2,Производитель 12,Бренд 7,663.79,325.3
2023-06-01,Группа 2,Производитель 12,Бренд 3,354.97,129.19
2023-07-01,Группа 2,Производитель 21,Бренд 16,336.01,241.92
2023-08-01,Группа 2,Производитель 12,Бренд 8,163.96,630.85
2023-09-01,Группа 2,Производитель 17,Бренд 18,774.17,987.86
2023-10-01,Группа 2,Производитель 19,Бренд 3,665.61,240.95
2023-11-01,Группа 2,Производитель 7,Бренд 24,412.96,650.62
2023-12-01,Группа 2,Производитель 24,Бренд 5,170.66,400.64
2024-01-01,Группа 2,Производитель 23,Бренд 24,920.69,760.48
2024-02-01,Группа 2,Производитель 17,Бренд 15,532.99,173.87
2024-03-01,Группа 2,Производитель 2,Бренд 19,855.17,402.36
2024-04-01,Группа 2,Производитель 7,Бренд 23,782.56,760.02
2024-05-01,Группа 2,Производитель 4,Бренд 7,824.84,609.8
2024-06-01,Группа 2,Производитель 17,Бренд 3,340.64,660.82
2023-01-01,Группа 2,Производитель 1,Бренд 11,717.94,298.54
2023-02-01,Группа 2,Производитель 9,Бренд 5,806.54,131.72
2023-03-01,Группа 2,Производитель 1,Бренд 7,535.65,612.65
2023-04-01,Группа 2,Производитель 19,Бренд 9,660.57,742.74
2023-05-01,Группа 2,Производитель 10,Бренд 10,615.44,676.31
2023-06-01,Группа 2,Производитель 17,Бренд 3,399.24,309.44
2023-07-01,Группа 2,Производитель 5,Бренд 4,727.65,875.11
2023-08-01,Группа 2,Производитель 24,Бренд 23,178.18,101.05
2023-09-01,Группа 2,Производитель 11,Бренд 17,684.67,282.55
2023-10-01,Группа 2,Производитель 21,Бренд 7,431.22,455.03
2023-11-01,Группа 2,Производитель 24,Бренд 4,467.86,215.06
2023-12-01,Группа 2,Производитель 2,Бренд 4,584.01,226.16
2024-01-01,Группа 2,Производитель 24,Бренд 19,250.14,764.52
2024-02-01,Группа 2,Производитель 7,Бренд 21,158.4,308.12
2024-03-01,Группа 2,Производитель 23,Бренд 10,459.28,602.3
2024-04-01,Группа 2,Производитель 21,Бренд 9,596.84,497.56
2024-05-01,Группа 2,Производитель 2,Бренд 11,652.63,942.59
2024-06-01,Группа 2,Производитель 15,Бренд 6,872.41,742.29
2023-01-01,Группа 2,Производитель 2,Бренд 24,176.19,409.07
2023-02-01,Группа 2,Производитель 9,Бренд 1,287.27,256.87
2023-03-01,Группа 2,Производитель 22,Бренд 17,317.02,201.95
2023-04-01,Группа 2,Производитель 2,Бренд 9,922.56,169.2
2023-05-01,Группа 2,Производитель 15,Бренд 2,343.89,410.15
2023-06-01,Группа 2,Производитель 19,Бренд 19,592.44,855.84
2023-07-01,Группа 2,Производитель 17,Бренд 20,537.62,133.73
2023-08-01,Группа 2,Производитель 1,Бренд 24,445.68,182.26
2023-09-01,Группа 2,Производитель 17,Бренд 15,607.27,424.47
2023-10-01,Группа 2,Производитель 3,Бренд 17,853.82,516.32
2023-11-01,Группа 2,Производитель 20,Бренд 20,355.37,825.29
2023-12-01,Группа 2,Производитель 24,Бренд 21,326.74,987.61
2024-01-01,Группа 2,Производитель 24,Бренд 13,806.42,650.08
2024-02-01,Группа 2,Производитель 19,Бренд 10,370.02,279.74
2024-03-01,Группа 2,Производитель 9,Бренд 14,512.79,624.94
2024-04-01,Группа 2,Производитель 21,Бренд 4,383.41,587.04
2024-05-01,Группа 2,Производитель 14,Бренд 19,457.9,494.0
2024-06-01,Группа 2,Производитель 12,Бренд 1,863.02,575.49
2023-01-01,Группа 2,Производитель 15,Бренд 15,756.49,507.49
2023-02-01,Группа 2,Производитель 5,Бренд 14,417.1,279.98
2023-03-01,Группа 2,Производитель 3,Бренд 4,243.89,620.76
2023-04-01,Группа 2,Производитель 13,Бренд 12,951.07,426.42
2023-05-01,Группа 2,Производитель 14,Бренд 19,224.8,655.85
2023-06-01,Группа 2,Производитель 11,Бренд 23,698.88,865.5
2023-07-01,Группа 2,Производитель 17,Бренд 8,841.06,870.02
2023-08-01,Группа 2,Производитель 4,Бренд 22,405.67,522.1
2023-09-01,Группа 2,Производитель 11,Бренд 5,637.69,690.4
2023-10-01,Группа 2,Производитель 4,Бренд 6,953.66,319.91
2023-11-01,Группа 2,Производитель 10,Бренд 14,797.84,473.2
2023-12-01,Группа 2,Производитель 7,Бренд 11,409.13,520.95
2024-01-01,Группа 2,Производитель 17,Бренд 8,969.96,971.14
2024-02-01,Группа 2,Производитель 23,Бренд 20,396.04,992.64
2024-03-01,Группа 2,Производитель 17,Бренд 20,166.43,954.33
2024-04-01,Группа 2,Производитель 24,Бренд 18,574.15,346.95
2024-05-01,Группа 2,Производитель 3,Бренд 19,764.92,663.44
2024-06-01,Группа 2,Производитель 17,Бренд 24,277.46,713.24
2023-01-01,Группа 2,Производитель 7,Бренд 24,110.68,838.87
2023-02-01,Группа 2,Производитель 18,Бренд 16,912.71,982.31
2023-03-01,Группа 2,Производитель 12,Бренд 3,824.52,447.55
2023-04-01,Группа 2,Производитель 18,Бренд 10,776.07,539.83
2023-05-01,Группа 2,Производитель 3,Бренд 18,820.27,616.94
2023-06-01,Группа 2,Производитель 13,Бренд 14,340.03,847.35
2023-07-01,Группа 2,Производитель 10,Бренд 8,781.88,777.1
2023-08-01,Группа 2,Производитель 5,Бренд 18,285.62,431.33
2023-09-01,Группа 2,Производитель 6,Бренд 22,193.16,506.92
2023-10-01,Группа 2,Производитель 22,Бренд 23,235.22,566.44
2023-11-01,Группа 2,Производитель 16,Бренд 1,688.9,605.34
2023-12-01,Группа 2,Производитель 22,Бренд 7,912.99,363.14
2024-01-01,Группа 2,Производитель 15,Бренд 9,908.4,988.36
2024-02-01,Группа 2,Производитель 18,Бренд 12,487.44,832.24
2024-03-01,Группа 2,Производитель 22,Бренд 10,200.16,949.81
2024-04-01,Группа 2,Производитель 23,Бренд 9,501.9,654.78
2024-05-01,Группа 2,Производитель 2,Бренд 18,371.59,279.93
2024-06-01,Группа 2,Производитель 24,Бренд 3,260.0,185.24
2023-01-01,Группа 2,Производитель 15,Бренд 5,890.87,383.3
2023-02-01,Группа 2,Производитель 13,Бренд 5,159.08,211.16
2023-03-01,Группа 2,Производитель 21,Бренд 19,347.63,700.94
2023-04-01,Группа 2,Производитель 19,Бренд 9,190.38,721.44
2023-05-01,Группа 2,Производитель 7,Бренд 3,130.44,866.98
2023-06-01,Группа 2,Производитель 15,Бренд 6,132.76,567.68
2023-07-01,Группа 2,Производитель 16,Бренд 14,942.61,926.68
2023-08-01,Группа 2,Производитель 3,Бренд 15,514.83,576.51
2023-09-01,Группа 2,Производитель 2,Бренд 21,353.42,745.46
2023-10-01,Группа 2,Производитель 8,Бренд 24,845.32,489.35
2023-11-01,Группа 2,Производитель 18,Бренд 15,869.17,998.54
2023-12-01,Группа 2,Производитель 2,Бренд 10,166.46,446.14
2024-01-01,Группа 2,Производитель 19,Бренд 16,217.71,743.2
2024-02-01,Группа 2,Производитель 22,Бренд 19,812.89,957.65
2024-03-01,Группа 2,Производитель 10,Бренд 18,749.2,945.09
2024-04-01,Группа 2,Производитель 1,Бренд 8,915.03,412.98
2024-05-01,Группа 2,Производитель 17,Бренд 8,816.74,189.05
2024-06-01,Группа 2,Производитель 13,Бренд 16,722.4,830.37
2023-01-01,Группа 2,Производитель 19,Бренд 10,289.87,350.79
2023-02-01,Группа 2,Производитель 5,Бренд 24,218.56,145.53
2023-03-01,Группа 2,Производитель 10,Бренд 14,356.26,942.23
2023-04-01,Группа 2,Производитель 4,Бренд 20,156.03,569.41
2023-05-01,Группа 2,Производитель 3,Бренд 9,375.65,437.28
2023-06-01,Группа 2,Производитель 4,Бренд 15,288.18,382.88
2023-07-01,Группа 2,Производитель 13,Бренд 8,936.68,375.14
2023-08-01,Группа 2,Производитель 22,Бренд 24,264.65,766.69
2023-09-01,Группа 2,Производитель 6,Бренд 24,880.9,372.78
2023-10-01,Группа 2,Производитель 12,Бренд 3,887.6,489.1
2023-11-01,Группа 2,Производитель 16,Бренд 1,809.16,556.81
2023-12-01,Группа 2,Производитель 9,Бренд 9,818.7,332.61
2024-01-01,Группа 2,Производитель 1,Бренд 7,582.65,944.22
2024-02-01,Группа 2,Производитель 24,Бренд 5,755.28,393.51
2024-03-01,Группа 2,Производитель 17,Бренд 4,245.83,596.12
2024-04-01,Группа 2,Производитель 14,Бренд 15,158.77,131.8
2024-05-01,Группа 2,Производитель 9,Бренд 11,482.37,860.22
2024-06-01,Группа 2,Производитель 8,Бренд 18,919.92,474.63
2023-01-01,Группа 2,Производитель 8,Бренд 22,546.06,434.5
2023-02-01,Группа 2,Производитель 9,Бренд 21,484.6,197.33
2023-03-01,Группа 2,Производитель 15,Бренд 16,704.9,415.63
2023-04-01,Группа 2,Производитель 17,Бренд 3,796.21,498.02
2023-05-01,Группа 2,Производитель 19,Бренд 23,376.3,645.82
2023-06-01,Группа 2,Производитель 3,Бренд 2,423.14,323.06
2023-07-01,Группа 2,Производитель 8,Бренд 3,353.17,362.27
2023-08-01,Группа 2,Производитель 19,Бренд 3,870.5,818.69
2023-09-01,Группа 2,Производитель 17,Бренд 24,537.3,418.21
2023-10-01,Группа 2,Производитель 22,Бренд 16,119.54,764.21
2023-11-01,Группа 2,Производитель 4,Бренд 21,716.94,669.61
2023-12-01,Группа 2,Производитель 12,Бренд 9,446.33,807.43
2024-01-01,Группа 2,Производитель 6,Бренд 22,303.54,113.0
2024-02-01,Группа 2,Производитель 11,Бренд 14,897.2,434.37
2024-03-01,Группа 2,Производитель 19,Бренд 11,322.25,607.85
2024-04-01,Группа 2,Производитель 4,Бренд 21,984.89,882.79
2024-05-01,Группа 2,Производитель 13,Бренд 3,703.95,159.47
2024-06-01,Группа 2,Производитель 11,Бренд 19,891.33,908.11
2023-05-01,Группа 2,Производитель 1,Бренд 18,804.34,701.38
2023-06-01,Группа 2,Производитель 19,Бренд 6,132.38,768.24
